Numero;Designation;Format;Actions;Emplacement;QrCode
42400138;VPort P06HC-1MP CAM36-CT (Cubic) V1.0.0;[a-zA-Z]{5}[0-9]{7};OF-OC;A-36-1JC-03;autres
42400131;VPort P06-2M60M V1.2.2;[a-zA-Z]{5}[0-9]{7};OF-OC;A-33-1GB-01;autres
42400169;Network Camera Caméra en réseau;[A-Z]{2}-[A-Z][0-9]{4}[A-Z]{2};OF-OC;A-28-1BA-02;autres
42400142;Fisheye Fixed Dome Network Camera;[A-Z]{2}[0-9]{4}-[A-Z]{3};OF-OC;A-ZONE TRAN;autres
70501208;Viper-120A-T4G-P8-HV-Actia-RERNG;[0-9]{4}-[0-9]{4};OF-OC;A-32-1FB-02;autres
95005370;ENSEMBLE BDT REGIOLIS SANS RELAIS;[0-9]{7};OF-OC;A-32-1FA-02;autres
95005372;ENSEMBLE BPT VERSION A 4kv;[0-9]{7};OF-OC;A-33-1GA-02;autres
95005371;ENSEMBLE BDT REGIOLIS AVEC RELAIS;[0-9]{7};OF-OC;A-34-1HE-02;autres
95005431;MP14-CAMERA-INTERIEURE;[a-zA-Z]{5}[0-9]{7};OF-OC;A-27-ZE-02;autres
95005369;ENSEMBLE CARTE DE PALPAGE 750V;[0-9]{7};OF-OC;A-33-1GD-02;autres
95006177;CAMERA-DOME-DIRECTIVE-VP-TER;[0-9]{4}-[0-9]{4};OF-OC;A-28-1BA-01;autres
95005374;ENSEMBLE BPT VERSION C 2Kv;[0-9]{7};OF-OC;A-32-1FA-02;autres
